Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
07_MIT9313 | snp_MIT9313_filtered	dnaseq/D20-160007-4500T/snippy_MIT9313_filtered/snp_MIT9313_filtered.bam	228539.0	204502.0	29975121.0	29974231.0	188.1437	132.0	59.2844	0.0027	12.4333	89.48232030419315
08_1A3 | snp_1A3_filtered	dnaseq/D20-160008-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	24.0	0.0	0.0	0.0						0.0
08_MIT9313 | snp_MIT9313_filtered	dnaseq/D20-160008-4500T/snippy_MIT9313_filtered/snp_MIT9313_filtered.bam	24.0	0.0	0.0	0.0						0.0
09_1A3 | snp_1A3_filtered	dnaseq/D20-160009-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	100736.0	96274.0	15888649.0	15888165.0	422.0594	150.0	58.7634	0.0036	3.4148	95.57060038119441
09_MIT9313 | snp_MIT9313_filtered	dnaseq/D20-160009-4500T/snippy_MIT9313_filtered/snp_MIT9313_filtered.bam	608437.0	601477.0	100599255.0	100596941.0	245.7596	154.0	59.3377	0.0035	41.7273	98.85608534655191
10_1A3 | snp_1A3_filtered	dnaseq/D20-160010-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	355492.0	124339.0	21959417.0	21958976.0	456.7169	166.0	58.7542	0.003	4.7195	34.9765958165022
10_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160010-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	310085.0	79363.0	13775655.0	13775260.0	198.5985	160.0	58.7802	0.0019	7.7389	25.593950045955143
10_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160010-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	188538.0	4807.0	696543.0	695641.0	147.0083	135.0	44.2192	0.1154	0.2068	2.549618644517286
11_1A3 | snp_1A3_filtered	dnaseq/D20-160011-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	100051.0	66823.0	11245766.0	11245546.0	186.5626	155.0	58.6664	0.0026	2.417	66.78893764180268
11_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160011-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	625522.0	591864.0	98979534.0	98976689.0	195.2648	153.0	58.832	0.0017	55.6046	94.6192140324401
11_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160011-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	29689.0	360.0	47029.0	46966.0	131.5531	119.0	16.9106	0.109	0.014	1.2125703122368554
12_1A3 | snp_1A3_filtered	dnaseq/D20-160012-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	550761.0	134228.0	22612541.0	22611522.0	384.4303	156.0	58.7221	0.0044	4.8599	24.37136979561007
12_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160012-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	540771.0	124846.0	20722162.0	20721576.0	198.171	151.0	58.7452	0.002	11.6413	23.086666999524752
12_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160012-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	343959.0	8844.0	1210895.0	1209292.0	138.0147	128.0	47.7068	0.1139	0.3594	2.571236688093639
13_1A3 | snp_1A3_filtered	dnaseq/D20-160013-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	111057.0	76670.0	12928454.0	12928128.0	478.1555	156.0	58.7212	0.0045	2.7786	69.03662083434632
13_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160013-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	528179.0	493364.0	82754463.0	82752205.0	241.4015	154.0	58.82	0.0029	46.4897	93.40848462358406
13_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160013-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	30623.0	279.0	37485.0	37443.0	134.5435	123.0	14.216	0.112	0.0111	0.9110799072592496
14_1A3 | snp_1A3_filtered	dnaseq/D20-160014-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	891857.0	241673.0	41227645.0	41226739.0	426.7564	157.0	58.7845	0.0032	8.8607	27.09772979300493
14_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160014-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	867534.0	218186.0	36869334.0	36868330.0	248.583	155.0	58.7466	0.002	20.7124	25.150138207839696
14_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160014-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	532590.0	14020.0	1957455.0	1955057.0	141.9224	130.0	49.2003	0.1143	0.5811	2.6324189338891077
15_1A3 | snp_1A3_filtered	dnaseq/D20-160015-4500T/snippy_1A3_filtered/snp_1A3_filtered.bam	122179.0	76861.0	13283143.0	13282806.0	268.8158	162.0	58.7265	0.0027	2.8548	62.908519467338905
15_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160015-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	695187.0	649572.0	111450556.0	111447450.0	210.3809	158.0	58.8255	0.0017	62.6105	93.43845612763184
15_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160015-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	39109.0	649.0	91329.0	91217.0	141.5679	132.0	22.7139	0.1129	0.0271	1.659464573371858
16_DE | snp_DE_filtered	dnaseq/D20-160016-4500T/snippy_DE_filtered/snp_DE_filtered.bam	356364.0	52479.0	6950129.0	6948271.0	247.761	114.0	58.7437	0.0261	1.551	14.726234973229618
16_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160016-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	370946.0	67610.0	8694840.0	8694661.0	138.4303	109.0	58.7231	0.0014	4.8846	18.22637257174899
16_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160016-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	272580.0	5248.0	607329.0	606614.0	116.385	102.0	46.0611	0.111	0.1803	1.9253063320859929
17_DE | snp_DE_filtered	dnaseq/D20-160017-4500T/snippy_DE_filtered/snp_DE_filtered.bam	275540.0	41708.0	6825456.0	6822153.0	393.6474	150.0	58.5705	0.0483	1.5232	15.13682223996516
17_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160017-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	761189.0	528784.0	89993142.0	89990505.0	218.5534	156.0	58.8043	0.0018	50.5562	69.46816099549521
17_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160017-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	221198.0	1103.0	148935.0	148792.0	136.3315	128.0	30.6257	0.1142	0.0442	0.4986482698758578
18_DE | snp_DE_filtered	dnaseq/D20-160018-4500T/snippy_DE_filtered/snp_DE_filtered.bam	246166.0	31193.0	5097462.0	5095735.0	253.594	153.0	58.8218	0.0326	1.1376	12.67153059317696
18_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160018-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	268388.0	54226.0	8827315.0	8827098.0	212.6254	151.0	58.7825	0.0018	4.959	20.20433104311668
18_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160018-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	185872.0	3418.0	485614.0	484975.0	142.9613	135.0	40.7442	0.1161	0.1442	1.8388998880950331
19_DE | snp_DE_filtered	dnaseq/D20-160019-4500T/snippy_DE_filtered/snp_DE_filtered.bam	64835.0	7892.0	1339156.0	1338926.0	186.2381	158.0	58.5117	0.0222	0.2989	12.172437726536593
19_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160019-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	474842.0	417502.0	70908871.0	70906622.0	193.7245	156.0	58.8069	0.0019	39.8351	87.92440432817654
19_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160019-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	49665.0	792.0	112578.0	112460.0	143.7266	133.0	26.248	0.1141	0.0334	1.5946843853820596
20_DE | snp_DE_filtered	dnaseq/D20-160020-4500T/snippy_DE_filtered/snp_DE_filtered.bam	452328.0	45432.0	7146602.0	7143037.0	245.3557	143.0	58.702	0.0508	1.5949	10.044038839072531
20_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160020-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	507093.0	102632.0	16939650.0	16939134.0	259.8945	148.0	58.7392	0.0022	9.5163	20.23928549595439
20_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160020-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	359282.0	5477.0	744919.0	744038.0	137.1157	124.0	44.6266	0.1143	0.2211	1.5244292783941304
21_DE | snp_DE_filtered	dnaseq/D20-160021-4500T/snippy_DE_filtered/snp_DE_filtered.bam	79690.0	9854.0	1633881.0	1633520.0	182.0607	152.0	58.7977	0.0372	0.3646	12.36541598694943
21_MIT0604 | snp_MIT0604_filtered	dnaseq/D20-160021-4500T/snippy_MIT0604_filtered/snp_MIT0604_filtered.bam	544692.0	474152.0	81145854.0	81143827.0	232.6262	157.0	58.813	0.0027	45.586	87.04956195427876
21_Maricaulis | snp_Maricaulis_filtered	dnaseq/D20-160021-4500T/snippy_Maricaulis_filtered/snp_Maricaulis_filtered.bam	61464.0	891.0	122081.0	121917.0	138.0248	125.0	28.2074	0.1137	0.0362	1.4496290511518939
